成都酒店源,#genre#
江西卫视,http://182.150.23.74:808/hls/30/index.m3u8
广西卫视,http://182.150.23.74:808/hls/31/index.m3u8
广东卫视,http://182.150.23.74:808/hls/32/index.m3u8
河南卫视,http://182.150.23.74:808/hls/33/index.m3u8
黑龙江卫视,http://182.150.23.74:808/hls/34/index.m3u8
吉林卫视,http://182.150.23.74:808/hls/35/index.m3u8
陕西卫视,http://182.150.23.74:808/hls/36/index.m3u8
内蒙古卫视,http://182.150.23.74:808/hls/37/index.m3u8
四川卫视,http://182.150.23.74:808/hls/38/index.m3u8

	
SCTV-5,http://182.150.23.74:808/hls/39/index.m3u8
峨眉电影,http://182.150.23.74:808/hls/40/index.m3u8
四川卫视,http://182.150.63.29:8080/udp/239.93.0.169:5140
四川卫视,http://182.150.63.29:8080/udp/239.93.1.188:5140
四川康巴卫视,http://182.150.63.29:8080/udp/239.93.0.41:5140
四川公共乡村,http://182.150.63.29:8080/udp/239.93.0.52:5140
四川妇女儿童,http://182.150.63.29:8080/udp/239.93.0.219:5140
四川影视文艺,http://182.150.63.29:8080/udp/239.93.0.166:5140
四川影视文艺,http://182.150.63.29:8080/udp/239.93.1.195:5140
四川文化旅游,http://182.150.63.29:8080/udp/239.93.1.101:5140
四川文化旅游,http://182.150.63.29:8080/udp/239.93.1.20:5140
四川新闻,http://182.150.63.29:8080/udp/239.93.0.47:5140
四川经济,http://182.150.63.29:8080/udp/239.93.1.102:5140
四川经济,http://182.150.63.29:8080/udp/239.93.1.16:5140
峨眉电影,http://182.150.63.29:8080/udp/239.93.1.54:5140
峨眉电影,http://182.150.63.29:8080/udp/239.93.1.18:5140
凤凰中文,http://182.150.63.29:8080/udp/239.93.0.162:2192
凤凰中文,http://182.150.63.29:8080/udp/239.93.1.9:2192
凤凰资讯,http://182.150.63.29:8080/udp/239.93.0.118:2191
凤凰资讯,http://182.150.63.29:8080/udp/239.93.1.4:2191
星空,http://182.150.63.29:8080/udp/239.93.0.156:2193
CHANNEL-V,http://182.150.63.29:8080/udp/239.93.1.7:2194
CCTV-1,http://182.150.63.29:8080/udp/239.93.0.184:5140
CCTV-2,http://182.150.63.29:8080/udp/239.93.1.23:6000
CCTV-3,http://182.150.63.29:8080/udp/239.93.1.11:2223
CCTV-4,http://182.150.63.29:8080/udp/239.93.1.105:5140

CCTV-5,http://182.150.63.29:8080/udp/239.93.42.37:5140
CCTV-6,http://182.150.63.29:8080/udp/239.93.1.13:2226
CCTV-7,http://182.150.63.29:8080/udp/239.93.1.67:5140
CCTV-8,http://182.150.63.29:8080/udp/239.93.42.39:5140
CCTV-9,http://182.150.63.29:8080/udp/239.93.1.24:5140
CCTV-10,http://182.150.63.29:8080/udp/239.93.1.28:5140
CCTV-11,http://182.150.63.29:8080/udp/239.93.0.102:5140
CCTV-12,http://182.150.63.29:8080/udp/239.93.1.30:8124
CCTV-13,http://182.150.63.29:8080/udp/239.93.0.66:5140
CCTV-少儿,http://182.150.63.29:8080/udp/239.93.1.29:6000
CCTV-15,http://182.150.63.29:8080/udp/239.93.0.103:5140
CCTV-17,http://182.150.63.29:8080/udp/239.93.0.92:5140
四川卫视,http://182.150.63.29:8080/udp/239.93.0.20:1235
CDTV-1,http://182.150.63.29:8080/udp/239.93.0.16:5140
湖南卫视,http://182.150.63.29:8080/udp/239.93.0.88:5140
江苏卫视,http://182.150.63.29:8080/udp/239.93.0.89:5140
浙江卫视,http://182.150.63.29:8080/udp/239.93.0.124:5140
东方卫视,http://182.150.63.29:8080/udp/239.93.0.123:5140
北京卫视,http://182.150.63.29:8080/udp/239.93.0.180:5140
深圳卫视,http://182.150.63.29:8080/udp/239.93.0.182:5140
广东卫视,http://182.150.63.29:8080/udp/239.93.0.181:5140
天津卫视,http://182.150.63.29:8080/udp/239.93.0.167:5140
山东卫视,http://182.150.63.29:8080/udp/239.93.0.168:5140
SCTV-2,http://182.150.63.29:8080/udp/239.93.1.101:5140
SCTV-3,http://182.150.63.29:8080/udp/239.93.1.102:5140
SCTV-4,http://182.150.63.29:8080/udp/239.93.0.47:5140
SCTV-5,http://182.150.63.29:8080/udp/239.93.0.166:5140
SCTV-6,http://182.150.63.29:8080/udp/239.93.1.144:5140
SCTV-7,http://182.150.63.29:8080/udp/239.93.0.219:5140
SCTV-科教,http://182.150.63.29:8080/udp/239.93.42.44:5140
四川乡村,http://182.150.63.29:8080/udp/239.93.0.52:5140
康巴卫视,http://182.150.63.29:8080/udp/239.93.0.41:5140
江西卫视,http://182.150.63.29:8080/udp/239.93.0.134:5140
东南卫视,http://182.150.63.29:8080/udp/239.93.0.42:5140
黑龙江卫视,http://182.150.63.29:8080/udp/239.93.0.183:5140
重庆卫视,http://182.150.63.29:8080/udp/239.93.1.107:5140
贵州卫视,http://182.150.63.29:8080/udp/239.93.0.131:5140
湖北卫视,http://182.150.63.29:8080/udp/239.93.0.250:5140
安徽卫视,http://182.150.63.29:8080/udp/239.93.1.106:5140
河北卫视,http://182.150.63.29:8080/udp/239.93.0.132:5140
辽宁卫视,http://182.150.63.29:8080/udp/239.93.1.108:5140
云南卫视,http://182.150.63.29:8080/udp/239.93.1.174:5140
河南卫视,http://182.150.63.29:8080/udp/239.93.42.45:5140
广西卫视,http://182.150.63.29:8080/udp/239.93.42.46:5140
云南卫视,http://182.150.63.29:8080/udp/239.93.0.174:5140
吉林卫视,http://182.150.63.29:8080/udp/239.93.0.248:5140
陕西卫视,http://182.150.63.29:8080/udp/239.93.0.176:5140
内蒙古卫视,http://182.150.63.29:8080/udp/239.93.0.8:5140
青海卫视,http://182.150.63.29:8080/udp/239.93.0.192:5140
宁夏卫视,http://182.150.63.29:8080/udp/239.93.0.247:5140
西藏卫视,http://182.150.63.29:8080/udp/239.93.0.175:5140
新疆卫视,http://182.150.63.29:8080/udp/239.93.0.194:5140
甘肃卫视,http://182.150.63.29:8080/udp/239.93.0.81:5140
海南卫视,http://182.150.63.29:8080/udp/239.93.0.80:5140
